시각,,,유입,유출,,,,총인원(검산용),버스,
시,분,초,온 사람,5511,5516,차고지,이탈,버스 오기 전,버스 번호,설입 도착 시각(시분초)
5,0,14,,,,,,17,,
,,47,1,,,,,18,,
,1,4,1,,,,,19,,
,,5,1,,,,,20,,
,,6,1,,,,,21,,
,,7,1,,,,,22,,
,,8,1,,,,,23,,
,,9,1,,,,,24,,
,2,8,,12,,,,12,,
,,55,,,1,,,11,,
,3,29,,,,1,,10,,
,3,59,1,,,,,11,,
,4,7,1,,,,,12,,
,,11,1,,,,,13,,
,,56,1,,,,,14,,
,5,8,,,,,1,13,,
,,15,1,,,,,14,,
,,23,1,,,,,15,,
,,25,1,,,,,16,,
,,33,1,,,,,17,,
,6,3,2,,,,,19,,
,,6,1,,,,,20,,
,7,54,,,,,1,19,,
,8,6,1,,,,,20,,
,,36,1,,,,,21,,
,9,0,1,,,,,22,,
,,12,1,,,,,23,,
,,14,1,,,,,24,,
,10,44,1,,,,,25,,
,11,22,3,,,,,28,,
,,40,,24,,,,4,,
,12,13,2,,,,,6,,
,,49,1,,,,,7,,
,13,26,1,,,,,7,,
,14,49,,,,,1,7,,
,15,18,1,,,,,8,,
,,36,1,,,,,9,,
,16,40,1,,,,,10,,
,17,27,1,,,,,11,,
,,42,2,,,,,13,,
,18,29,2,,,,,15,,
,20,17,1,,,,,16,,
,,26,1,,,,,17,,
,,34,1,,,,,18,,
,21,1,1,,,,,19,,
,22,36,,,5,,,14,,
,,42,1,,,,,15,,
,23,16,1,,,,,16,,
,,21,1,,,,,17,,
,23,57,,13,,,,4,,
,24,39,,,,,1,3,,
,25,0,1,,,,,4,,
,,1,,,,1,,3,,
,,12,2,,,,,5,,
,25,38,2,,,,,7,,
,26,36,1,,,,,8,,
,,42,1,,,,,9,,
,,46,1,,,,,10,,
,,55,1,,,,,11,,
,,57,1,,,,,12,,
,28,59,2,,,,,14,,
,29,18,1,,,,,15,,
,,24,3,,,,,18,,
,,41,1,,,,,19,,
,30,23,1,,,,,20,,
,31,13,,,,,1,19,,
,,33,,,,9,,10,,
,,55,1,,,,,11,,
,32,15,5,,,,,16,,
,,16,,13,,,,3,,
,33,50,1,,,,,4,,
,34,12,1,,,,,5,,
,,33,2,,,,,7,,
,35,39,,,2,,,5,,
,38,14,2,,,,,7,,
,39,12,3,,,,,10,,
,,27,1,,,,,11,,
,40,28,1,,,,,12,,
,42,2,2,,,,,14,,
,42,56,,,2,,,12,,
,43,0,,,,0,,12,,
,43,26,1,,,,,13,,
,44,15,2,,,,,15,,
,45,6,1,,,,,16,,
,,22,2,,,,,18,,
,,52,,15,,,,3,,
,,57,1,,,,,4,,
,46,23,1,,,,,5,,
,47,0,1,,,,,6,,
,,19,1,,,,,7,,
,,33,1,,,,,8,,
,,41,1,,,,,9,,
,48,0,1,,,,,10,,
,,11,1,,,,,11,,
,,44,2,,,,,13,,
,49,32,,,,,1,12,,
,50,19,,,2,,,10,,
,51,2,1,,,,,11,,
,,44,1,,,,,12,,
,,47,1,,,,,13,,
,52,46,,,,0,,13,,
,53,8,1,,,,,14,,
,,16,1,,,,,15,,
,,46,1,,,,,16,,
,54,39,1,,,,,17,,
,55,17,,12,,,,5,,
,56,46,1,,,,,6,,
,57,22,1,,,,,7,,
,,31,,,,,1,6,,
,,33,1,,,,,7,,
,,41,1,,,,,8,,
,58,5,1,,,,,9,,
,,25,1,,,,,10,,
,,39,1,,,,,11,,
,59,29,5,,,,,16,,
,,39,1,,,,,17,,
6,0,30,3,,,,,20,,
,,35,,,,6,,14,,
,1,29,1,,,,,15,,
,,49,,,3,,,12,,
,2,13,2,,,,,14,,
,,19,,,,,1,13,,
,,29,2,,,,,15,,
,,44,,12,,,,3,,
,,56,2,,,,,5,,
,3,8,,,,,1,4,,
,,44,1,,,,,5,,
,,58,1,,,,,6,,
,4,48,2,,,,,8,,
,5,33,1,,,,,9,,
,7,15,1,,,,,10,,
,,18,1,,,,,11,,
,,30,2,,,,,13,,
,,35,1,,,,,14,,
,8,34,1,,,,,15,,
,9,14,1,,,,,16,,
,,26,1,,,,,17,,
,,48,1,,,,,18,,
,10,16,1,,,,,19,,
,11,14,,,5,,,14,,
,12,13,1,,,,,15,,
,,19,1,,,,,16,,
,13,8,1,,,,,17,,
,,12,,13,,,,4,,
,,50,2,,,,,6,,
,14,6,,,,2,,4,,
,,17,,,,,1,3,,
,,27,1,,,,,4,,
,15,33,1,,,,,5,,
,16,12,1,,,,,6,,
,19,22,,,,,1,5,,
,,38,,,1,,,4,,
,20,19,1,,,,,5,,
,,52,1,,,,,6,,
,,59,1,,,,,7,,
,21,19,1,,,,,8,,
,,26,3,,,,,11,,
,,30,2,,,,,13,,
,,55,1,,,,,14,,
,22,8,3,,,,,17,,
,,18,1,,,,,18,,
,,53,1,,,,,19,,
,23,9,2,,,,,21,,
,,14,,,,,2,19,,
,,18,1,,,,,20,,
,,22,1,,,,,21,,
,,34,2,,,,,23,,
,24,29,2,,,,,25,,
,,43,,,,7,,18,,
,25,31,,6,,,,12,,
,,51,1,,,,,13,,
,26,50,2,,,,,15,,
,,55,1,,,,,16,,
,27,45,2,,,,,18,,
,30,7,1,,,,,19,,
