시각,,,유입,유출,,,,총인원(검산용),버스,,,,
시,분,초,온 사람,5511,5516,차고지,이탈,버스 오기 전,버스 번호,설입 도착 시각(시분초),,,
5,0,0,0,,,,,7,,,,,
,1,35,1,,,,,8,,,,,
,2,13,1,,,,,9,,,,,
,,22,,9,,,,0,,5,17,33,5511 출발
,,55,3,,,,,3,,,,,
,3,49,,,0,,,3,,,,,
,5,3,,,,0,,3,,,,,
5,5,44,1,,,,,4,,,,,
,6,30,2,,,,,6,,,,,
,7,30,3,,,,,9,,,,,
,,54,1,,,,,10,,,,,
,8,7,1,,,,,11,,,,,
,,15,2,,,,,13,,,,,
,,21,,,,,1,12,,,,,
,10,35,1,,,,,13,,,,,
,,39,4,,,,,17,,,,,
,11,0,,,,,,17,,,,,5511 도착
,,8,1,,,,,18,,,,,
,,30,1,,,,,19,,,,,
,,42,2,,,,,21,,,,,
,11,55,,21,,,,0,,5,27,5,5511 출발
,12,33,2,,,,,2,,,,,
,,44,1,,,,,3,,,,,
,13,25,,,2,,,1,,,,,
,,40,,,,0,,1,,,,,
,14,12,1,,,,,2,,,,,
,,31,2,,,,,4,,,,,
,,37,1,,,,,5,,,,,
,15,18,2,,,,,7,,,,,
,16,2,,,,,1,6,,,,,
,,16,1,,,,,7,,,,,
,17,20,1,,,,,8,,,,,
,19,5,1,,,,,9,,,,,
,,13,2,,,,,11,,,,,
,,32,1,,,,,12,,,,,
,,40,1,,,,,13,,,,,
,20,24,1,,,,,14,,,,,
,22,22,1,,,,,15,,,,,
,,59,1,,,,,16,,,,,
,23,5,,,,,,16,,,,,5516 출발
,23,13,,16,,,,0,,5,38,32,5511 출발
,24,37,,,,0,,0,,,,,
,,43,1,,,,,1,,,,,
,25,46,1,,,,,2,,,,,
,27,0,1,,,,,3,,,,,
,,15,1,,,,,4,,,,,
,,54,1,,,,,5,,,,,
,30,38,1,,,,,6,,,,,
,,52,1,,,,,7,,,,,
,,59,1,,,,,8,,,,,
,31,36,,,,,1,7,,,,,
,,19,6,,,,,13,,,,,
,,37,2,,,,,15,,,,,
,32,44,,14,,,,1,,5,46,36,5511 출발
,33,8,1,,,,,2,,,,,
,,12,1,,,,,3,,,,,
,,17,1,,,,,4,,,,,
,34,22,1,,,,,5,,,,,
,,25,2,,,,,7,,,,,
,,29,,,5,,,1,,,,,
,,30,,,,,1,,,,,,
,,54,,,,0,,1,,,,,
,36,24,1,,,,,2,,,,,
,,34,2,,,,,4,,,,,
,,52,1,,,,,5,,,,,
,37,27,1,,,,,6,,,,,
,,33,1,,,,,7,,,,,
,,50,1,,,,,8,,,,,
,38,0,1,,,,,9,,,,,
,39,18,1,,,,,10,,,,,
,40,0,1,,,,,11,,,,,
,,29,1,,,,,12,,,,,
,,32,1,,,,,13,,,,,
,,40,1,,,,,14,,,,,
,41,10,1,,,,,15,,,,,
,42,0,,,2,,,13,,,,,
,43,3,,12,,,,0,,5,57,40,5511 출발
,,4,,,,,1,,,,,,
,,33,,,,0,,0,,,,,
,44,8,1,,,,,1,,,,,
,,35,1,,,,,2,,,,,
,,55,1,,,,,3,,,,,
,45,18,2,,,,1,4,,,,,
,,32,1,,,,,5,,,,,
,,51,1,,,,,6,,,,,
,47,33,1,,,,,7,,,,,
,,51,1,,,,,8,,,,,
,49,11,1,,,,,9,,,,,
,,26,1,,,,,10,,,,,
,49,55,,,3,,,7,,,,,
,50,3,,,,0,,7,,,,,
,,44,1,,,,,8,,,,,
,52,5,2,,,,,10,,,,,
,52,33,,,,,,10,,,,,5511 도착
,,44,1,,,,,11,,,,,
,,55,,11,,,,0,,6,7,2,5511 출발
,,57,1,,,,,1,,,,,
,53,12,1,,,,,2,,,,,
,54,15,1,,,,,3,,,,,
,,53,1,,,,,4,,,,,
,55,49,2,,,,,6,,,,,
,56,6,1,,,,,7,,,,,
,,27,,,,,1,6,,,,,
,,43,1,,,,,7,,,,,
,57,16,1,,,,,8,,,,,
,58,18,3,,,,,11,,,,,
,,20,,,,,1,10,,,,,
,59,57,1,,,,,11,,,,,
6,0,1,,,,,1,10,,,,,
,,25,2,,,,,12,,,,,
,1,2,1,,,,,13,,,,,
,,27,,,0,,,13,,,,,
,,41,,,1,,,12,,,,,
,2,0,1,,,,,13,,,,,
,,57,,,,,1,12,,,,,
,3,11,1,,,,,13,,,,,
,,24,,13,,,,0,,6,17,15,5511 출발
,,33,1,,,,,1,,,,,
,4,7,1,,,,,2,,,,,
,5,50,1,,,,,3,,,,,
,,57,1,,,,,4,,,,,
,6,3,2,,,,,6,,,,,
,7,50,,,,1,,5,,,,,
,8,49,,,,0,,5,,,,,
,9,53,1,,,,,6,,,,,
,10,38,1,,,,,7,,,,,
,11,7,1,,,,,8,,,,,
,,21,,,1,,,7,,,,,
,,42,1,,,,,8,,,,,
,13,7,2,,,,,10,,,,,
,,21,1,,,,,11,,,,,
,,32,1,,,,,12,,,,,
,,39,1,,,,,13,,,,,
,,43,1,,,,,14,,,,,
,,50,1,,,,,15,,,,,
,,52,,,,,,15,,,,,
,14,36,,15,,,,0,,6,28,22,
,16,43,1,,,,,1,,,,,
,17,5,2,,,,,3,,,,,
,,23,2,,,,,5,,,,,
,19,0,,,0,,,5,,,,,
,,53,1,,,,,6,,,,,
,20,13,1,,,,,7,,,,,
,,18,1,,,,,8,,,,,
,,40,,8,,,,0,,6,33,29,
,,45,,,,0,,0,,,,,
,21,26,1,,,,,1,,,,,
,22,3,,,,,1,0,,,,,
,,30,1,,,,,1,,,,,
,25,25,1,,,,,2,,,,,
,,35,2,,,,,4,,,,,
,,45,1,,,,,5,,,,,
,26,35,,,1,,,4,,,,,
,27,36,1,,,,,5,,,,,
,28,0,1,,,,,6,,,,,
,,10,1,,,,,7,,,,,
,29,8,1,,,,,8,,,,,
,,30,2,,,,,10,,,,,
,30,19,,,,,,10,,,,,5511 도착
,,41,,9,,,,1,,6,43,42,5511 출발
