시각,,,유입,유출,,,,총인원(검산용),버스,,,
시,분,초,온 사람,5511,5516,차고지,이탈,버스 오기 전,버스 번호,설입 도착 시각(시분초),,
5,0,0,,,,,,3,,,,
,1,1,2,,,,,5,,,,
,2,1,2,,,,,7,,,,
,,30,1,,,,,8,,,,
,3,2,1,,,,,9,,,,
,,7,1,,,,,10,,,,
,3,20,2,,,,,12,,,,
,,37,,12,,,,0,2513,5,17,6
,5,0,1,,,,,1,,,,
,,51,,,0,,,1,,,,
,6,1,1,,,,,2,,,,
,,40,1,,,,,3,,,,
,7,49,1,,,,,4,,,,
,8,22,1,,,,,5,,,,
,,30,3,,,,,8,,,,
,9,6,1,,,,,9,,,,
,,17,1,,,,,10,,,,
,,42,1,,,,,11,,,,
,10,24,1,,,,,12,,,,
,,34,1,,,,,13,,,,
,11,13,1,,,,,14,,,,
,12,36,,,,3,,11,,,,
,13,2,,,,,,11,,,,
,,32,,11,,,,0,9034,5,23,25
,17,0,1,,,,,1,,,,
,18,0,1,,,,,2,,,,
,,53,1,,,,,3,,,,
,19,20,1,,,,,4,,,,
,,25,1,,,,,5,,,,
,,40,,4,,,,1,9035,5,31,0
,21,9,1,,,,,2,,,,
,,20,1,,,,,3,,,,
,22,42,2,,,,,5,,,,
,24,36,1,,,,,6,,,,
,25,13,,,1,,,5,,,,
,,44,1,,,,,6,,,,
,,50,1,,,,,7,,,,
,26,24,1,,,,,8,,,,
,27,15,4,,,,,12,,,,
,27,36,2,,,,,14,,,,
,30,14,2,,,,,16,,,,
,,51,,14,,,,2,2501,5,43,10
,31,20,1,,,,,3,,,,
,,46,1,,,,,4,,,,
,32,10,1,,,,,5,,,,
,33,5,2,,,,,7,,,,
,,27,3,,,,,10,,,,
,,31,,,,6,,4,,,,
,,50,,,,,,4,,,,
,34,17,,,3,,,1,,,,
,,35,1,,,,,2,,,,
,35,30,1,,,,,3,,,,
,,34,1,,,,,4,,,,
,,38,1,,,,,5,,,,
,37,23,1,,,,,6,,,,
,38,25,1,,,,,7,,,,
,,46,2,,,,,9,,,,
,39,20,1,,,,,10,,,,
,40,2,1,,,,,11,,,,
,,23,1,,,,,12,,,,
,40,46,2,,,,,14,,,,
,,51,,,,3,,11,,,,
,41,16,1,,,,,12,,,,
,42,20,1,,,,,13,,,,
,,34,1,,,,,14,,,,
,43,10,,13,,,,1,4678,5,54,13
,44,23,,,1,,,0,,,,
,46,9,1,,,,,1,,,,
,,50,2,,,,,3,,,,
,48,0,1,,,,,4,,,,
,,4,1,,,,,5,,,,
,51,36,1,,,,,6,,,,
,,44,1,,,,,7,,,,
,51,59,,7,,,,0,4681,6,4,34
,54,51,1,,,,,1,,,,
,55,13,2,,,,,3,,,,
,,17,2,,,,,5,,,,
,56,0,1,,,,,6,,,,
,,4,1,,,,,7,,,,
,,39,1,,,,,8,,,,
,,50,1,,,,,9,,,,
,57,6,,,,,1,8,,,,
,58,22,1,,,,,9,,,,
6,0,0,1,,,,,10,,,,
,,27,,,,1,,9,,,,
,1,49,1,,,,,10,,,,
,2,1,1,,,,,11,,,,
,4,0,1,,,,,12,,,,
,5,2,2,,,,,14,,,,
,,10,1,,,,,15,,,,
,5,44,,,,,1,14,,,,
,,48,1,,,,,15,,,,
,6,0,,0,,,,15,4682,6,20,46
,,37,1,,,,,16,,,,
,,58,1,,,,,17,,,,
,7,0,1,,,,,18,,,,
,,40,1,,,,,19,,,,
,8,27,2,,,,,21,,,,
,9,13,1,,,,,22,,,,
,,45,2,,,,,24,,,,
,10,35,1,,,,,25,,,,
,11,3,,,,,1,24,,,,
,11,20,,,4,,,20,,,,
,12,19,,19,,,,1,4683,6,25,6
,,29,1,,,,,2,,,,
,,43,,,,,1,1,,,,
,13,33,1,,,,,2,,,,
,14,44,1,,,,,3,,,,
,,50,1,,,,,4,,,,
,16,14,,,,,1,3,,,,
,17,51,,,,,1,2,,,,
,18,42,1,,,,,3,,,,
,19,12,1,,,,,4,,,,
,21,5,,,,1,,3,,,,
,,44,1,,,,,4,,,,
,22,10,1,,,,,5,,,,
,,37,1,,,,,6,,,,
,,49,1,,,,,7,,,,
,23,39,1,,,,,8,,,,
,24,32,,3,,,,5,4688,6,34,45
,,50,,,,,1,4,,,,
,25,2,1,,,,,5,,,,
,,29,1,,,,,6,,,,
,,38,1,,,,,7,,,,
,27,11,,,3,,,4,,,,
,,50,1,,,,,5,,,,
,,56,2,,,,,7,,,,
,28,29,2,,,,1,8,,,,
,,30,,,,,1,7,,,,
,,44,1,,,,,8,,,,
,30,43,1,,,,,9,,,,
,31,31,1,,,,,10,,,,
,32,20,2,,,,,12,,,,
,33,10,2,,,,,14,,,,
,,30,,,,,2,12,,,,
,,54,1,,,,,13,,,,
,34,7,2,,,,,15,,,,
,35,2,2,,,,,17,,,,
,,15,1,,,,,18,,,,
,,30,,8,8,,,2,,,,
