시각,,,유입,유출,,,,,총인원(검산용),버스,,,
시,분,초,온 사람,관02,5516,5513,셔틀,이탈,버스 오기 전,버스 번호,낙성대 도착 시각(시분초),,
5,3,38,,,,,,,5,,,,
,4,19,,,,,-2,,7,,,,
,,57,1,,,,,,8,,,,
,5,44,1,,,,,,9,,,,
,,45,,7,,,,,2,9038,5,22,1
,6,15,2,,,,,,4,,,,
,7,9,,,1,,,,3,,,,
,8,44,2,,,,,,5,,,,
,10,15,1,,,,,,6,,,,
,,16,,2,,,,,4,8909,5,24,20
,11,1,,,,,0,,4,,,,
,12,36,1,,,,,,5,,,,
,13,22,1,,,,,,6,,,,
,,30,,,,5,,,1,,,,
,,53,,1,,,,,0,8910,5,29,4
,16,20,1,,,,,,1,,,,
,17,5,1,,,,,,2,,,,
,,49,,2,,,,,0,8904,5,33,51
,18,7,,,,,0,,0,,,,
,19,7,,,0,,,,0,,,,
,21,6,1,,,,,,1,,,,
,,39,,1,,,,,0,5165,5,34,44
,22,59,1,,,,,,1,,,,
,23,42,4,,,,,,5,,,,
,,47,,,,,1,,4,,,,
,24,35,,,0,,,,4,,,,
,25,16,1,,,,,,5,,,,
,,26,1,,,,,,6,,,,
,,27,,6,,,,,0,8907,5,40,39
,27,9,1,,,,,,1,,,,
,,40,1,,,,,,2,,,,
,28,8,,,,0,,,2,,,,
,,56,1,,,,,,3,,,,
,29,32,,2,,,,,1,5164,5,45,26
,30,37,1,,,,,,2,,,,
,31,17,2,,,,,,4,,,,
,,24,2,,,,,,6,,,,
,,32,,,,,0,,6,,,,
,33,8,2,,,,,,8,,,,
,,46,,7,,,,,1,5007,5,47,58
,35,29,,,0,,,,1,,,,
,,46,3,,,,,,4,,,,
,36,14,1,,,,,,5,,,,
,37,1,1,,,,,,6,,,,
,,6,1,,,,,,7,,,,
,,47,1,,,,,,8,,,,
,,50,,2,,,,,6,9037,5,52,22
,38,50,,,,,1,,5,,,,
,39,36,1,,,,,,6,,,,
,40,50,1,,,,,,7,,,,
,41,26,1,,,,,,8,,,,
,,41,,,,6,,,2,,,,
,42,0,,2,,,,,0,8906,5,58,30
,43,6,,,0,,,,0,,,,
,,25,1,,,,,,1,,,,
,44,13,1,,,,,,2,,,,
,,20,,,,,0,,2,,,,
,45,11,1,,,,,,3,,,,
,,40,,,,,,1,2,,,,
,,45,,2,,,,,0,8911,6,0,28
,46,54,1,,,,,,1,,,,
,48,26,1,,,,,,2,,,,
,49,39,,1,,,,,1,8985,6,3,38
,50,59,1,,,,,,2,,,,
,51,32,1,,,,,,3,,,,
,,42,,,,,2,,1,,,,
,52,22,1,,,,,,2,,,,
,53,13,,0,,,,,2,9038,6,7,26
,55,24,,,,0,,,2,,,,
,,42,2,,,,,,4,,,,
,58,0,,4,,,,,0,8909,6,17,34
,,25,1,,,,,,1,,,,
,59,6,,,,,,1,0,,,,
,,54,3,,,,,,3,,,,
6,0,37,,,,,-1,,4,,,,
,1,35,,4,,,,,0,8910,6,18,10
,2,7,,,0,,,,0,,,,
,,32,1,,,,,,1,,,,
,3,6,1,,,,,,2,,,,
,,38,1,,,,,,3,,,,
,,50,1,,,,,,4,,,,
,4,0,1,,,,,,5,,,,
,,1,1,,,,,,6,,,,
,,31,1,,,,,,7,,,,
,,32,,,,,0,,7,,,,
,5,7,1,,,,,,8,,,,
,,25,1,,,,,,9,,,,
,,26,4,,,,,,13,,,,
,,40,2,,,,,,15,,,,
,,41,1,,,,,,16,,,,
,,49,,15,,,,,1,8904,6,27,25
,6,43,2,,,,,,3,,,,
,,44,1,,,,,,4,,,,
,,50,1,,,,,,5,,,,
,8,40,2,,,,,,7,,,,
,9,35,1,,,,,,8,,,,
,,36,1,,,,,,9,,,,
,,45,,6,,,,,3,5165,6,27,25
,,46,,,,2,,,1,,,,
,10,23,,,1,,,,0,,,,
,,40,1,,,,,,1,,,,
,,44,1,,,,,,2,,,,
,11,8,1,,,,,,3,,,,
,,44,2,,,,,,5,,,,
,,58,,,,,2,,3,,,,
,13,32,1,,,,,,4,,,,
,,40,2,,,,,,6,,,,
,,41,1,,,,,,7,,,,
,,58,1,,,,,,8,,,,
,14,3,2,,,,,,10,,,,
,,5,,10,,,,,0,8907,6,31,10
,,54,1,,,,,,1,,,,
,15,50,1,,,,,,2,,,,
,16,34,,,0,,,,2,,,,
,,45,2,,,,,,4,,,,
,17,45,,4,,,,,0,5164,6,31,10
,20,2,,,,,0,,0,,,,
,21,1,1,,,,,,1,,,,
,,20,1,,,,,,2,,,,
,,35,2,,,,,,4,,,,
,,36,,4,,,,,0,5007,,,
,22,35,,,,,0,,0,,,,
,23,26,,,,0,,,0,,,,
,24,47,1,,,,,,1,,,,
,25,21,,1,,,,,0,9037,,,
,26,30,2,,,,,,2,,,,
,,40,1,,,,,,3,,,,
,,45,1,,,,,,4,,,,
,28,30,,,0,,,,4,,,,
,,47,1,,,,,,5,,,,
,29,43,,3,,,,,2,8906,,,
,30,17,1,,,,,,3,,,,
